Title,Description,Assignee,Labels,Milestone,Priority,Estimate
"TICKET #11: Diseño e Implementación de Base de Datos","**Sprint:** 1\n**Componente:** Base de Datos\n**Estimación:** 10 horas\n\n**Tareas:**\n- TD-001: Esquema BD\n- TD-002: DAOs\n- TD-003: Init Script\n\n**Criterios:**\n- [ ] 5 tablas creadas\n- [ ] DAOs completos\n- [ ] Script funcional\n\n**Archivos:** database/, server/src/database/","Integrante3","component: database,priority: high,sprint-1","Sprint 1","High","10h"
"TICKET #12: Mantenimiento de Base de Datos","**Sprint:** 2\n**Componente:** Base de Datos\n**Estimación:** 6 horas\n\n**Tareas:**\n- TD-004: Migraciones\n- TD-005: Backups\n- TD-006: Limpieza\n\n**Criterios:**\n- [ ] Migraciones versionadas\n- [ ] Backups automáticos\n- [ ] Limpieza >30 días\n\n**Archivos:** database/migrations/, database/scripts/","Integrante3","component: database,priority: medium,sprint-2","Sprint 2","Medium","6h"
"TICKET #13: Pruebas de Base de Datos","**Sprint:** 3\n**Componente:** Base de Datos\n**Estimación:** 4 horas\n\n**Tareas:**\n- TD-007: Pruebas BD\n\n**Criterios:**\n- [ ] Tests de integridad\n- [ ] Tests de performance\n- [ ] EXPLAIN verifica índices\n\n**Archivos:** database/tests/","Integrante3","component: database,priority: low,sprint-3,type: testing","Sprint 3","Low","4h"
"TICKET #14: Dashboard Principal de la UI","**Sprint:** 2\n**Componente:** UI\n**Estimación:** 8 horas\n\n**Tareas:**\n- TI-001: Wireframes\n- TI-002: Dashboard\n\n**Criterios:**\n- [ ] Mockups diseñados\n- [ ] Tabla 9 clientes\n- [ ] Actualización 5s\n\n**Archivos:** ui/web/","Integrante3","component: ui,priority: high,sprint-2","Sprint 2","High","8h"
"TICKET #15: Vistas Adicionales de la UI","**Sprint:** 3\n**Componente:** UI\n**Estimación:** 10 horas\n\n**Tareas:**\n- TI-003: Vista Cliente\n- TI-004: Vista Global\n\n**Criterios:**\n- [ ] Gráficos Chart.js\n- [ ] Vista detallada\n- [ ] Cards métricas globales\n\n**Archivos:** ui/web/js/","Integrante3","component: ui,priority: medium,sprint-3","Sprint 3","Medium","10h"
"TICKET #16: Sistema de Mensajería en UI","**Sprint:** 3\n**Componente:** UI\n**Estimación:** 8 horas\n\n**Tareas:**\n- TI-005: Vista Mensajería\n- TI-007: Tiempo Real\n\n**Criterios:**\n- [ ] Formulario envío mensajes\n- [ ] Historial ACKs\n- [ ] Actualización automática\n\n**Archivos:** ui/web/js/messaging.js","Integrante4","component: ui,priority: medium,sprint-3","Sprint 3","Medium","8h"
"TICKET #17: Vista de Availability y Alertas","**Sprint:** 3\n**Componente:** UI\n**Estimación:** 8 horas\n\n**Tareas:**\n- TI-006: Vista Availability\n- TI-009: Alertas\n\n**Criterios:**\n- [ ] Timeline visual\n- [ ] Tabla availability\n- [ ] Notificaciones toast\n\n**Archivos:** ui/web/js/availability.js","Integrante4","component: ui,priority: medium,sprint-3","Sprint 3","Medium","8h"
"TICKET #18: Pruebas de UI y Usabilidad","**Sprint:** 3\n**Componente:** UI\n**Estimación:** 6 horas\n\n**Tareas:**\n- TI-008: Configuración UI\n- TI-010: Pruebas UI\n\n**Criterios:**\n- [ ] 3 navegadores\n- [ ] Responsive\n- [ ] Carga <3s\n\n**Archivos:** ui/tests/","Integrante4","component: ui,priority: low,sprint-3,type: testing","Sprint 3","Low","6h"
"TICKET #19: Documentación Técnica Parte 1","**Sprint:** 3\n**Componente:** Documentación\n**Estimación:** 8 horas\n\n**Tareas:**\n- DOC-001: Arquitectura\n- DOC-002: Instalación\n- DOC-003: Manual Usuario\n\n**Criterios:**\n- [ ] Diagramas incluidos\n- [ ] Manual probado\n- [ ] Screenshots UI\n\n**Archivos:** docs/","Integrante4","component: docs,priority: medium,sprint-3","Sprint 3","Medium","8h"
"TICKET #20: Documentación Técnica Parte 2","**Sprint:** 3\n**Componente:** Documentación\n**Estimación:** 8 horas\n\n**Tareas:**\n- DOC-004: API\n- DOC-005: Protocolo\n- DOC-006: BD\n- DOC-007: Troubleshooting\n\n**Criterios:**\n- [ ] API completa\n- [ ] Protocolos especificados\n- [ ] 10+ problemas comunes\n\n**Archivos:** docs/","Integrante4","component: docs,priority: medium,sprint-3","Sprint 3","Medium","8h"
"TICKET #21: Documentación Final y Presentación","**Sprint:** 4\n**Componente:** Documentación\n**Estimación:** 10 horas\n\n**Tareas:**\n- DOC-008: Docstrings\n- DOC-009: Reporte Pruebas\n- DOC-010: Presentación\n\n**Criterios:**\n- [ ] Código documentado\n- [ ] Reporte completo\n- [ ] 15-20 slides\n- [ ] Demo ensayado\n\n**Archivos:** docs/presentation/","Integrante4","component: docs,priority: high,sprint-4","Sprint 4","High","10h"
"TICKET #22: Pruebas End-to-End e Integración","**Sprint:** 3\n**Componente:** Testing\n**Estimación:** 8 horas\n\n**Tareas:**\n- Pruebas E2E completas\n\n**Criterios:**\n- [ ] 9 clientes test\n- [ ] Flujo completo\n- [ ] Availability verificada\n\n**Archivos:** tests/integration/","Integrante4","component: testing,priority: high,sprint-3,type: testing","Sprint 3","High","8h"
